cpu-cycles,instructions,branch-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss ,CPI
0.934326,0.046684,0.109497,0.212272,0.154648,0.526932,0.071207,0.178377,0.19569,0.42549,1.443322283
0.93483,0.039255,0.100525,0.20363,0.148766,0.512257,0.067387,0.181677,0.171178,0.413375,1.498977926
0.928953,0.032147,0.093141,0.194698,0.139849,0.488068,0.064948,0.168091,0.162029,0.409638,1.550934305
0.938337,0.446592,0.740525,0.496785,0.685403,0.054307,0.133192,0.157514,0.769038,0.40086,0.484685934
0.937641,0.452717,0.735986,0.536495,0.318643,0.252155,0.142812,0.166806,0.504619,0.456354,0.479616725
0.938149,0.43379,0.697841,0.527386,0.252413,0.371754,0.154227,0.149863,0.391917,0.451782,0.495176188
0.934817,0.39966,0.655075,0.495408,0.205913,0.363835,0.139754,0.12547,0.32304,0.430755,0.524693756
0.934636,0.365843,0.571344,0.468263,0.182554,0.367924,0.122818,0.125272,0.296423,0.459068,0.558715866
0.935469,0.335972,0.545557,0.443758,0.156282,0.342211,0.104337,0.10524,0.260105,0.434473,0.592991433
0.935061,0.312841,0.500232,0.419957,0.142697,0.345973,0.098669,0.103905,0.226205,0.41497,0.622179853
0.937152,0.290079,0.455093,0.405458,0.132913,0.349714,0.08384,0.083706,0.216776,0.43016,0.654762111
0.935187,0.269545,0.448358,0.385386,0.116334,0.328574,0.079081,0.088805,0.198518,0.396984,0.685702368
0.932664,0.250068,0.401044,0.362194,0.117751,0.312156,0.075884,0.093179,0.197335,0.442122,0.717690696
0.935379,0.240886,0.421709,0.355367,0.102109,0.295449,0.072552,0.078923,0.184027,0.394752,0.735439723
0.930298,0.231848,0.408321,0.349825,0.09998,0.305944,0.068641,0.074332,0.158949,0.37879,0.750527548
0.931838,0.207958,0.385366,0.321214,0.090171,0.287274,0.066289,0.07432,0.153743,0.345384,0.800627862
0.935049,0.20955,0.344007,0.333987,0.101126,0.320498,0.06924,0.074795,0.158108,0.391534,0.798538341
0.932734,0.196317,0.350547,0.31261,0.086245,0.2785,0.059645,0.067979,0.154464,0.348837,0.827577382
0.931694,0.182788,0.309943,0.315222,0.096598,0.305689,0.056763,0.069258,0.149579,0.396086,0.860246997
0.930648,0.179567,0.323185,0.303281,0.083718,0.28801,0.05307,0.069941,0.137785,0.343155,0.868032824
0.929949,0.171216,0.294517,0.291077,0.085519,0.299171,0.054452,0.066154,0.133887,0.342057,0.889920485
0.935242,0.165145,0.282562,0.288685,0.075752,0.27457,0.052911,0.066855,0.137694,0.368974,0.909449931
0.925777,0.149974,0.284663,0.275539,0.079064,0.277492,0.048099,0.071319,0.118407,0.325885,0.949749515
0.929408,0.146748,0.261788,0.269332,0.080356,0.288088,0.052165,0.060893,0.128475,0.323094,0.961834051
0.934587,0.13909,0.264386,0.267058,0.067856,0.261248,0.047849,0.05188,0.115911,0.331425,0.98971068
0.931851,0.143963,0.275644,0.267689,0.069967,0.275359,0.048808,0.0649,0.114674,0.310081,0.972104881
0.930991,0.129122,0.215998,0.25695,0.073993,0.28565,0.049623,0.048646,0.120356,0.343916,1.022427782
0.931975,0.138199,0.265886,0.255434,0.068111,0.271587,0.046799,0.055589,0.112062,0.309337,0.991295764
0.931191,0.147046,0.292936,0.263123,0.063181,0.257202,0.045779,0.058559,0.115164,0.302417,0.961830876
0.928769,0.120663,0.232166,0.248019,0.06591,0.264016,0.04341,0.053404,0.106176,0.314234,1.0525298
0.931893,0.129939,0.249692,0.253366,0.064682,0.268039,0.046496,0.049623,0.111209,0.311591,1.020001154
0.934447,0.121196,0.247912,0.252129,0.059221,0.264897,0.044168,0.047208,0.1019,0.303026,1.053787569
0.932226,0.375804,0.941789,0.513457,0.709708,0.157378,0.197874,0.215439,0.852528,0.516587,0.547501855
0.93901,0.345177,0.992553,0.552733,0.381429,0.466848,0.259122,0.279784,0.596151,0.5762,0.58320569
0.933832,0.317296,0.971577,0.534652,0.279667,0.51572,0.225426,0.212745,0.43813,0.543221,0.615893279
0.931401,0.275766,0.903942,0.489904,0.226162,0.496398,0.178746,0.182856,0.353374,0.503509,0.674390013
0.937387,0.252116,0.858406,0.458688,0.184123,0.458024,0.150837,0.141777,0.302009,0.472934,0.715933201
0.930299,0.20973,0.766886,0.421498,0.166895,0.440913,0.133237,0.135849,0.277048,0.440362,0.796061339
0.930327,0.191007,0.747683,0.396843,0.140726,0.408458,0.113502,0.119949,0.234604,0.41327,0.839170288
0.931326,0.16761,0.675892,0.35381,0.139021,0.399321,0.113998,0.11358,0.2209,0.397685,0.9005556
0.934053,0.163429,0.673479,0.353768,0.114378,0.371478,0.100517,0.100417,0.192261,0.382871,0.913757484
0.936418,0.134591,0.594326,0.320578,0.117115,0.375038,0.091881,0.091465,0.176678,0.358439,1.006105147
0.937726,0.132476,0.610328,0.324566,0.103538,0.35101,0.08311,0.086816,0.167077,0.354576,1.014239008
0.935757,0.126444,0.605645,0.308727,0.102978,0.339995,0.081491,0.078693,0.154982,0.341153,1.034870966
