cpu-cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss
1368861657,2475620648,41544,22993328,124444340,59363,57707,3208767,35144,4170,616268,1515,88415,100247,5668443
1370779032,2504053385,26055,22944224,123551831,37392,66030,3257672,49624,4378,621395,1469,86015,97761,5498316
1368035868,2542167384,24853,22711444,123129736,35922,59232,3244036,36856,4118,615112,1431,94383,102140,5406279
1369913430,2442639994,62494,23514156,124782421,36851,49220,3049245,30873,3939,547684,1458,89079,100394,5602887
1366288491,2506514879,30152,22973336,123195407,36201,63805,3335985,45743,4338,620138,1402,79599,97128,5457941
1366758246,2494764440,35451,22958512,123189983,37934,50992,3262569,33723,4386,628114,2233,90310,102377,5519161
1372190920,2472844384,50749,22974897,123520030,35613,49188,3198046,29085,4179,620604,2258,76077,99617,5768466
1369882129,2486047977,39658,22963624,124197159,37200,57287,3194481,45435,4307,626038,2342,89161,99608,5591666
1368456470,2505423066,27490,22815677,123154078,38881,58654,3261797,42098,4504,623749,2250,82402,99707,5419096
1368874669,2526253142,44241,22510489,123914342,34886,51145,3178104,33366,4441,617694,2320,92417,102478,5822708
1376350088,2498048261,47966,22941280,125386978,33198,49530,3214948,32400,4036,617062,2358,135202,103040,5813955
1372296035,2500862456,37930,23010562,124653354,39480,56545,3216626,45981,4117,616440,2356,142127,99186,5694748
1372794183,2541151022,30710,22888613,123711572,35946,55923,3295831,41953,4281,615979,2363,132357,99419,5661500
1365756981,2489156677,45310,22825356,123439109,38870,47486,3241798,31707,4344,615987,1764,137739,102591,5720205
1367643712,2433183088,60988,24377447,123510275,35252,55643,3144776,38029,4725,568045,1396,146119,92328,5325280
1366607531,2525646162,31799,22637700,122766706,35862,52688,3244467,29410,4538,622206,1382,149393,103434,5444763
1367536008,2472480537,49637,22743965,122230197,33863,48490,3185150,25377,4264,613923,1424,140038,103950,5749468
1363753889,2469963317,41167,22948438,123242817,35682,57541,3189162,34354,4155,618800,1176,133492,97883,5530560
1366603128,2520698329,28562,22712758,122516433,36882,58840,3292848,38505,4386,631166,1245,132851,97344,5616729
1359778438,2496830651,39327,22674915,122497010,37064,49788,3278558,25229,3881,616251,1274,134620,104208,5580085
1367719490,2462116859,49186,22922604,123321800,35878,51295,3213752,27774,1622,609387,1364,141936,118350,5797131
1368358654,2492295421,31892,22963900,122439237,38553,61279,3317783,40344,1838,618182,1411,134723,113407,5559040
1362247960,2512552936,33388,22761662,122212648,36932,53906,3248470,29157,2016,618427,1235,141437,119793,5329135
1367997935,2471961962,49682,22961285,123020098,77383,48628,3179375,25185,1847,606433,1369,99455,118635,5576424
1365623115,2467166957,42962,22885466,123141444,88949,58355,3190953,35861,1854,622428,1258,91477,114650,5563472
1364874946,2500328978,36000,22778794,122221506,90964,58472,3282142,36386,2088,631283,1250,90341,117066,5580620
1374307823,2453127092,86644,26854313,120060135,98175,57611,3153901,32548,1803,619525,1337,84779,117808,5199939
1372172998,2510710842,44199,22884223,124353633,94930,56674,3238392,36475,1816,629555,1184,83397,116243,5684333
1373682857,2533269837,39562,22772813,124242229,100831,61305,3260938,36269,1945,632772,1316,80858,102380,5645268
1363214639,2480461253,47844,22563049,122287442,95844,54564,3218550,24308,1697,618765,898,83310,101928,5686223
1371707907,2461937633,55158,22826379,123332784,93592,56673,3191660,28432,1474,618858,467,80993,102284,5847303
1368447393,2501982832,41613,22870544,122651360,96724,64016,3260163,39941,1878,625789,476,84212,97725,5653868
1366643464,2519666593,37796,22672862,121933850,91579,58345,3316068,31638,1595,623417,365,82635,100436,5592248
1368240075,2481466522,52621,22760545,122707472,98605,53864,3218998,26946,1779,622439,381,82802,102272,5835681
