cpu-cycles,instructions,branch-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss ,CPI
0.921872,0.925229,0.00451,0.954181,0.000075,0.001775,0.422256,0.048254,0.031995,0.030548,0.553989539
0.917804,0.924292,0.003757,0.946206,0.000053,0.002668,0.419389,0.042864,0.027184,0.02763,0.552693167
0.92673,0.931726,0.004282,0.952295,0.000026,0.001626,0.421075,0.047996,0.031618,0.031081,0.553112133
0.922901,0.939409,0.003974,0.949999,0.000121,0.001969,0.420065,0.042915,0.027139,0.027297,0.548087254
0.923779,0.932269,0.003502,0.954409,0.000168,0.002256,0.421446,0.050162,0.036618,0.030674,0.551628887
0.92082,0.922067,0.004604,0.952934,0.000117,0.00134,0.422246,0.044746,0.028111,0.027628,0.554975833
0.925248,0.928603,0.004839,0.955557,0.000078,0.001282,0.422564,0.046578,0.031559,0.031176,0.553892129
0.922776,0.932523,0.003864,0.950155,0.000294,0.001156,0.419791,0.044282,0.028282,0.026916,0.551093469
0.920055,0.938883,0.004594,0.950274,0.000221,0.001145,0.424146,0.047042,0.029223,0.030423,0.547130374
0.926298,0.928746,0.009993,0.928397,0,0.001122,0.410523,0.045598,0.026663,0.025045,0.554270058
0.923945,0.93887,0.003708,0.947964,0.000128,0.001866,0.424749,0.045855,0.029619,0.028067,0.548761671
0.919977,0.933212,0.004194,0.949924,0.000129,0.001053,0.423254,0.045262,0.028246,0.027345,0.549611236
0.926691,0.932221,0.0044,0.950228,0.000192,0.002817,0.424079,0.046036,0.032618,0.030781,0.552873992
0.921874,0.924236,0.00426,0.94427,0.00012,0.001729,0.422623,0.045907,0.029524,0.027784,0.554439473
0.918631,0.926012,0.004832,0.947086,0.000049,0.001133,0.421689,0.046784,0.030757,0.031863,0.552267561
0.92284,0.925931,0.004066,0.947436,0.000104,0.001672,0.424517,0.049415,0.029816,0.028648,0.554081498
0.923517,0.945604,0.00324,0.946052,0.000086,0.00142,0.422139,0.047119,0.027412,0.027883,0.545619769
0.921426,0.927929,0.003989,0.948092,0.000217,0.000126,0.425885,0.044824,0.028946,0.026891,0.552584502
0.921531,0.923461,0.004676,0.946854,0.000168,0.0015,0.421775,0.044695,0.03026,0.030619,0.554644897
0.923968,0.934245,0.00392,0.949227,0.000003,0,0.422482,0.045598,0.027064,0.026809,0.550825792
0.906413,0.907446,0.010982,0.916056,0.000315,0.00166,0.415667,0.045133,0.028671,0.025543,0.55551315
0.920109,0.921132,0.003927,0.94754,0.001006,0.000836,0.423829,0.039872,0.028294,0.028515,0.555098997
0.882693,0.878214,0.004313,0.90324,0.002148,0.001798,0.403787,0.025971,0.026609,0.024322,0.55886017
0.922732,0.942616,0.003971,0.946763,0.002409,0.00166,0.424254,0.026332,0.028817,0.028087,0.546603232
0.919549,0.935803,0.003621,0.945644,0.002503,0.001156,0.42361,0.024372,0.028309,0.028141,0.54828045
0.920747,0.927681,0.003984,0.951749,0.002471,0.001008,0.425143,0.026745,0.030729,0.028071,0.552409979
0.926093,0.932798,0.004468,0.949407,0.002597,0.004912,0.42464,0.023934,0.025218,0.029283,0.552364136
0.918925,0.931888,0.003718,0.942101,0.002292,0.016957,0.423984,0.025326,0.014366,0.027019,0.549758993
0.921879,0.930698,0.004846,0.95311,0.00237,0.01722,0.423871,0.024424,0.014425,0.028164,0.551533071
0.9259,0.932033,0.004249,0.947292,0.002295,0.016979,0.424031,0.026177,0.014764,0.027962,0.552625481
0.921283,0.931943,0.003148,0.945916,0.002428,0.017495,0.425105,0.023211,0.014799,0.028024,0.550725824
0.91955,0.933502,0.003981,0.946731,0.002199,0.016247,0.42453,0.028189,0.018795,0.028897,0.549302886
0.919742,0.929879,0.010927,0.921566,0.002654,0.01833,0.400759,0.023856,0.015616,0.028797,0.551000275
0.922319,0.933344,0.00354,0.948895,0.002246,0.017105,0.423882,0.026306,0.015884,0.028393,0.550535569
0.922603,0.926893,0.004761,0.950584,0.002461,0.016063,0.425669,0.023908,0.014734,0.028045,0.553547424
0.922645,0.924117,0.004742,0.947423,0.002455,0.015331,0.421771,0.027132,0.016318,0.029559,0.554819278
0.922824,0.930604,0.004099,0.944685,0.002412,0.017987,0.425572,0.023444,0.014235,0.028723,0.551972277
0.924164,0.948851,0.004387,0.951425,0.002446,0.016693,0.421819,0.027235,0.01631,0.029758,0.544470731
0.922239,0.925278,0.004496,0.947391,0.003201,0.018319,0.42775,0.02169,0.015517,0.02884,0.554122578
0.92254,0.932425,0.003349,0.950017,0.004369,0.017254,0.422102,0.005519,0.016234,0.028005,0.551038511
0.926256,0.92938,0.004586,0.955584,0.004573,0.017621,0.42327,0.005029,0.011863,0.027385,0.553966644
0.918934,0.932576,0.004731,0.947949,0.004352,0.017895,0.426738,0.005003,0.016807,0.029359,0.549456252
0.918913,0.929558,0.003567,0.946283,0.004639,0.017724,0.420201,0.005313,0.013784,0.026785,0.55079509
0.924871,0.923109,0.011365,0.922027,0.004611,0.016842,0.411513,0.006241,0.016789,0.028554,0.556218396
0.921063,0.923768,0.003488,0.948033,0.004675,0.031932,0.424443,0.005081,0.002291,0.02693,0.554308035
0.922266,0.935633,0.003759,0.948979,0.004418,0.03073,0.422129,0.005184,0.001799,0.029242,0.549494318
0.922739,0.935407,0.004503,0.949476,0.004676,0.031612,0.42283,0.004952,0.001308,0.024124,0.5497932
0.922715,0.926067,0.004684,0.944168,0.004679,0.02986,0.425578,0.005003,0.00168,0.021514,0.553967154
0.917553,0.920803,0.004282,0.94408,0.004594,0.032081,0.42227,0.004926,0.001233,0.018512,0.554164482
0.921592,0.904966,0.004918,0.939985,0.004523,0.027639,0.419235,0.0049,0.0015,0.019557,0.563176272
0.921241,0.925589,0.00373,0.94576,0.004766,0.032654,0.42551,0.0049,0.001588,0.019094,0.553560746
0.924456,0.937766,0.003581,0.944845,0.004576,0.030261,0.425907,0.00472,0.00202,0.020323,0.549464337
0.920858,0.935648,0.004083,0.9439,0.004787,0.033444,0.422379,0.0057,0.002221,0.019418,0.548898123
0.922421,0.925788,0.004684,0.949753,0.004534,0.029997,0.422952,0.005081,0.001348,0.015502,0.553969128
0.927209,0.93876,0.009714,0.925291,0.004817,0.032711,0.414949,0.005751,0.00133,0.00779,0.550174385
0.924366,0.913768,0.004872,0.941946,0.00455,0.030696,0.41831,0.0049,0.001088,0.010971,0.560279499
0.921063,0.928375,0.003821,0.950876,0.004295,0.030135,0.419115,0.004952,0.001651,0.011757,0.552231186
0.926812,0.95234,0.004155,0.946888,0.004392,0.030776,0.419619,0.005184,0.001511,0.010467,0.544049871
0.922904,0.925927,0.004104,0.945312,0.004623,0.031554,0.424599,0.005184,0.002193,0.010495,0.554110464
0.924101,0.93282,0.003565,0.951764,0.004493,0.030181,0.424223,0.00521,0.001656,0.009941,0.551517674
0.924802,0.93328,0.004139,0.951044,0.004697,0.031532,0.419694,0.004307,0.001352,0.01098,0.551606412
0.919187,0.921756,0.004694,0.947021,0.004407,0.029688,0.420623,0.004797,0.001531,0.011625,0.554424884
0.920388,0.935062,0.003868,0.9419,0.00424,0.0312,0.422395,0.004333,0.001375,0.010209,0.548961176
0.921159,0.935535,0.003863,0.946539,0.004454,0.031131,0.42122,0.004874,0.001906,0.011116,0.549074041
0.91932,0.923272,0.004083,0.943001,0.004319,0.031085,0.420075,0.005725,0.000978,0.009748,0.553794783
0.921092,0.921617,0.004149,0.948635,0.004921,0.032871,0.42447,0.005158,0.001233,0.010613,0.555295922
0.927532,0.937959,0.009613,0.924274,0.00453,0.029139,0.415584,0.00637,0.001305,0.007558,0.550665284
0.923633,0.931301,0.004419,0.953176,0.004524,0.0316,0.422358,0.005055,0.000892,0.010896,0.552000269
0.959975,0.967593,0.004124,0.977693,0.004275,0.030421,0.436633,0.005184,0.001173,0.011966,0.551053897
0.92468,0.941474,0.004288,0.953631,0.004644,0.031795,0.424511,0.004797,0.0017,0.01082,0.547918135
0.922758,0.931346,0.00434,0.947607,0.004357,0.030593,0.420584,0.005184,0.001314,0.011539,0.551612675
0.922775,0.936453,0.003898,0.946239,0.004535,0.03199,0.422497,0.005468,0.002111,0.011559,0.549343581
0.921519,0.952688,0.003313,0.944065,0.004377,0.029723,0.421752,0.005132,0.001946,0.009842,0.541711252
0.923419,0.934817,0.003312,0.950957,0.004637,0.032814,0.41967,0.005442,0.0013,0.009992,0.550340803
0.926206,0.932255,0.003103,0.950521,0.004332,0.029574,0.422203,0.005029,0.001233,0.011144,0.552654324
0.922761,0.92923,0.002128,0.941407,0.004326,0.030387,0.420514,0.0049,0.001043,0.011154,0.552562806
0.924446,0.951727,0.002927,0.950221,0.004567,0.029814,0.422877,0.004591,0.000712,0.011125,0.54333738
0.923007,0.939846,0.006713,0.92985,0.004447,0.032196,0.405888,0.005725,0.001201,0.006785,0.547938217
0.922921,0.937035,0.002503,0.942653,0.004545,0.03049,0.419345,0.013205,0.001861,0.010102,0.549146196
0.925824,0.939794,0.002333,0.954313,0.004442,0.031909,0.423157,0.024914,0.001553,0.01016,0.549137851
0.925874,0.938607,0.001743,0.951024,0.004485,0.029654,0.420014,0.024527,0.000957,0.010417,0.549684197
0.922068,0.931466,0.001268,0.944609,0.004644,0.031532,0.419709,0.025043,0.001513,0.011438,0.551268457
0.922136,0.943196,0.001618,0.95402,0.004508,0.03073,0.422514,0.024656,0.001494,0.011635,0.546100398
0.921767,0.935137,0.000841,0.946078,0.003387,0.030352,0.421261,0.025223,0.008479,0.010935,0.549505865
0.921952,0.942451,0.000372,0.949012,0.002218,0.030822,0.421466,0.024681,0.014597,0.00967,0.546350953
0.923401,0.937009,0.00085,0.949409,0.002501,0.029482,0.419139,0.027157,0.015276,0.01076,0.549358665
