cpu-cycles,instructions,branch-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss ,CPI
0.917972,0.116534,0.79488,0.885379,0.027645,0.88865,0.655031,0.080787,0.157967,0.923207,1.39565621
0.914837,0.112966,0.780083,0.876744,0.025061,0.885423,0.684241,0.065511,0.124924,0.925019,1.413667228
0.919352,0.117223,0.79608,0.876957,0.026261,0.888313,0.636734,0.055156,0.135434,0.925147,1.392877803
0.91339,0.116173,0.788019,0.868825,0.029837,0.884993,0.61706,0.063894,0.155833,0.913211,1.393908405
0.915398,0.115607,0.782788,0.878572,0.025471,0.884105,0.648314,0.062215,0.129401,0.925087,1.398819336
0.916007,0.116894,0.78967,0.875299,0.026947,0.892469,0.614695,0.072547,0.147727,0.919661,1.391973607
0.914909,0.114755,0.78019,0.868513,0.025809,0.885084,0.648966,0.061004,0.128618,0.921366,1.403316084
0.907746,0.116087,0.793358,0.86094,0.028581,0.871193,0.602355,0.060937,0.159153,0.898114,1.389708121
0.90948,0.118174,0.791886,0.876296,0.024302,0.883932,0.62287,0.052068,0.124851,0.922237,1.379364137
0.912412,0.119734,0.799411,0.870972,0.026373,0.884748,0.604484,0.053293,0.147265,0.914472,1.373081137
0.917969,0.118374,0.791435,0.869213,0.02648,0.878954,0.622854,0.056937,0.122517,0.920945,1.385233106
0.911208,0.119362,0.798819,0.86595,0.029094,0.876529,0.603802,0.059642,0.147465,0.904589,1.374159478
0.913307,0.120702,0.805384,0.869972,0.030965,0.877581,0.596327,0.061782,0.176718,0.910741,1.368468414
0.915314,0.121699,0.804665,0.876539,0.027125,0.883588,0.594601,0.0592,0.136689,0.922741,1.364641467
0.916004,0.122137,0.807051,0.866013,0.036145,0.869801,0.581691,0.061724,0.170714,0.920979,1.362813822
0.911554,0.118716,0.791313,0.875126,0.028089,0.880837,0.610502,0.053942,0.143621,0.919788,1.378037766
0.912385,0.116111,0.790839,0.851085,0.033115,0.86959,0.593956,0.066958,0.181147,0.895948,1.393428083
0.91815,0.119547,0.803056,0.86685,0.039317,0.872459,0.591924,0.058867,0.179849,0.919894,1.378822426
0.911217,0.116029,0.795125,0.85592,0.036168,0.858648,0.605154,0.059753,0.180632,0.908163,1.392924662
0.918,0.116341,0.79601,0.868872,0.031329,0.869643,0.60091,0.060142,0.147804,0.926225,1.396775712
0.917147,0.115843,0.794518,0.871729,0.030021,0.878084,0.610722,0.060036,0.143006,0.922246,1.398922115
0.914044,0.115789,0.799822,0.865781,0.034839,0.87134,0.58115,0.056761,0.180198,0.914104,1.396647375
0.917596,0.118514,0.811757,0.872754,0.036865,0.872531,0.581085,0.060849,0.204032,0.912896,1.384137026
0.918531,0.118149,0.815989,0.873299,0.040441,0.868292,0.573924,0.063917,0.211662,0.910469,1.386962612
0.920325,0.115559,0.809054,0.871624,0.038655,0.868569,0.576305,0.054767,0.211969,0.913677,1.403195457
0.918288,0.112522,0.794124,0.878701,0.02852,0.883213,0.58208,0.063361,0.189274,0.918063,1.419184336
0.91631,0.111764,0.796287,0.87085,0.033433,0.876728,0.571707,0.056673,0.167942,0.924816,1.421998897
0.870521,0.087846,0.686362,0.793754,0.021774,0.81616,0.588657,0.07448,0.129971,0.877383,1.536440888
0.916454,0.105611,0.754963,0.864219,0.02357,0.875656,0.610341,0.063683,0.121504,0.917194,1.459556579
0.920333,0.104702,0.755597,0.860191,0.022236,0.873347,0.626163,0.054995,0.124656,0.915061,1.468637358
0.90914,0.108165,0.769128,0.8568,0.024142,0.872794,0.571874,0.0664,0.135714,0.913488,1.437498632
0.917721,0.108602,0.765705,0.874632,0.02329,0.889061,0.596811,0.051594,0.122809,0.928237,1.442201476
0.920238,0.106553,0.753455,0.865547,0.020598,0.877091,0.645811,0.058647,0.11848,0.913255,1.456970265
0.917658,0.101757,0.732937,0.839467,0.020576,0.849995,0.66558,0.062162,0.113427,0.894974,1.485090469
0.91829,0.103197,0.740706,0.845128,0.02271,0.860827,0.634774,0.059007,0.122845,0.895941,1.47639826
0.916628,0.10316,0.739364,0.841012,0.021522,0.854365,0.641533,0.068742,0.127011,0.894938,1.475177145
0.919416,0.103483,0.736434,0.834419,0.023455,0.851155,0.633767,0.05398,0.117625,0.897744,1.475561273
0.912883,0.108729,0.760488,0.859283,0.022244,0.877757,0.600217,0.064329,0.121898,0.907087,1.437280345
0.920228,0.108965,0.757786,0.851375,0.025306,0.867666,0.605079,0.061241,0.127072,0.911423,1.442139403
0.916706,0.106521,0.748761,0.8487,0.022902,0.868389,0.610437,0.066104,0.121409,0.904219,1.454115311
0.919212,0.105292,0.741439,0.837338,0.022653,0.855008,0.638272,0.064613,0.115088,0.892643,1.463950031
0.917433,0.109642,0.763414,0.849204,0.022296,0.867494,0.619636,0.057206,0.116559,0.901598,1.435647962
0.920873,0.114819,0.78456,0.866842,0.022569,0.879204,0.603443,0.066242,0.112818,0.919709,1.407926831
0.920723,0.1109,0.761272,0.851678,0.022407,0.86161,0.62376,0.062838,0.109473,0.919588,1.43088282
0.920327,0.113099,0.780603,0.856958,0.023338,0.874994,0.591605,0.061194,0.124323,0.912856,1.417511059
0.921553,0.115826,0.786368,0.870669,0.022964,0.882456,0.59432,0.064818,0.133934,0.914122,1.402685603
0.913059,0.113516,0.782107,0.859919,0.022995,0.87401,0.578681,0.066438,0.130145,0.912314,1.408956669
0.921354,0.116278,0.783475,0.870215,0.022061,0.878233,0.608779,0.065218,0.129024,0.916038,1.39992382
0.91552,0.116532,0.792756,0.858669,0.024633,0.882109,0.573089,0.069359,0.138228,0.907121,1.393631748
0.918913,0.115324,0.782044,0.862814,0.023754,0.884957,0.600394,0.063274,0.134175,0.912544,1.403371998
0.916567,0.115692,0.787803,0.856467,0.024108,0.88218,0.579973,0.061098,0.141195,0.903681,1.399306249
0.913372,0.116062,0.790823,0.87212,0.023792,0.890301,0.585852,0.073316,0.132919,0.915226,1.394527305
0.913155,0.11605,0.787,0.862354,0.023597,0.88655,0.587852,0.071237,0.138487,0.90071,1.394417857
0.921884,0.118027,0.798229,0.862861,0.023872,0.880632,0.577097,0.061124,0.132752,0.913316,1.39041643
0.921368,0.116207,0.786658,0.866947,0.022282,0.885338,0.612259,0.05603,0.132228,0.916397,1.400343023
0.918753,0.119793,0.809944,0.870407,0.02398,0.887515,0.582876,0.060156,0.135558,0.90994,1.377946387
0.921549,0.119304,0.800847,0.868944,0.02782,0.878691,0.58373,0.068964,0.173692,0.920758,1.382962246
0.914948,0.118875,0.804963,0.868248,0.033509,0.871814,0.57721,0.074719,0.209653,0.90981,1.379939611
0.918256,0.117124,0.795221,0.873311,0.027104,0.882254,0.592277,0.064268,0.160082,0.912549,1.392533534
0.9203,0.1171,0.79194,0.870809,0.025815,0.881555,0.59442,0.063312,0.159348,0.915601,1.394359057
0.919153,0.110906,0.762938,0.866198,0.020455,0.876965,0.6444,0.061367,0.135633,0.911283,1.429518992
0.919057,0.111687,0.765686,0.865276,0.020735,0.879231,0.664161,0.061928,0.123353,0.905597,1.424779164
0.906864,0.110674,0.764788,0.853712,0.023542,0.885319,0.584957,0.071456,0.129301,0.890997,1.420462564
0.915253,0.11276,0.769416,0.855143,0.02499,0.885443,0.594986,0.065835,0.143147,0.904695,1.415229082
0.918309,0.113874,0.769022,0.861859,0.025385,0.884108,0.603152,0.05491,0.134467,0.916497,1.411275266
0.910836,0.113749,0.775136,0.863117,0.025668,0.88529,0.59687,0.064487,0.140473,0.908375,1.405737399
0.918553,0.113818,0.772551,0.859084,0.023813,0.879426,0.61508,0.061098,0.132702,0.916682,1.411809905
0.911884,0.110069,0.756734,0.84579,0.023484,0.867268,0.636513,0.072298,0.14064,0.898565,1.428343045
0.913086,0.115645,0.772305,0.856854,0.026026,0.890829,0.585055,0.062797,0.14232,0.900451,1.396676211
0.913637,0.114435,0.774714,0.854189,0.028227,0.879181,0.582839,0.062981,0.16092,0.909964,1.404103679
0.92245,0.117966,0.792315,0.866194,0.031029,0.886807,0.58392,0.059153,0.180587,0.915173,1.391228055
0.919807,0.111746,0.766627,0.856179,0.022108,0.874962,0.643908,0.067552,0.128277,0.905145,1.425064443
0.917846,0.113866,0.779179,0.865252,0.025332,0.880167,0.612253,0.064733,0.152514,0.906487,1.41093454
0.916264,0.109178,0.759069,0.844797,0.02475,0.861723,0.637705,0.068043,0.144579,0.894589,1.437453498
0.916013,0.113215,0.778607,0.854061,0.025636,0.879876,0.58497,0.069397,0.142234,0.908797,1.413199443
0.917616,0.113565,0.777869,0.856744,0.027096,0.880638,0.604627,0.067309,0.156403,0.901534,1.412500427
0.920538,0.114949,0.780154,0.870074,0.024835,0.887832,0.607745,0.058127,0.14437,0.922779,1.406897917
0.916363,0.112411,0.778732,0.858289,0.026551,0.880567,0.600271,0.060212,0.139814,0.907137,1.418219044
0.914576,0.116133,0.796135,0.863498,0.030539,0.881833,0.582893,0.067376,0.184916,0.906716,1.395121751
0.914495,0.10892,0.756336,0.846552,0.026474,0.863541,0.627354,0.068681,0.156594,0.892469,1.437505021
0.920729,0.112617,0.770182,0.863784,0.025354,0.878488,0.620282,0.059884,0.171313,0.910603,1.420684829
0.917535,0.113803,0.78582,0.859993,0.02861,0.875165,0.589294,0.066701,0.178163,0.908558,1.411043711
0.914251,0.110654,0.762657,0.862276,0.021629,0.873975,0.610715,0.071453,0.14509,0.904476,1.426855547
0.908791,0.111483,0.777005,0.865237,0.022952,0.876273,0.602589,0.061092,0.147346,0.910902,1.417295582
0.91302,0.112518,0.780912,0.867597,0.024971,0.876963,0.586257,0.069564,0.173564,0.902827,1.414769171
0.911769,0.109981,0.765792,0.862099,0.021183,0.87625,0.594866,0.07419,0.152503,0.907007,1.42877548
0.92523,0.114152,0.780812,0.877355,0.021385,0.88298,0.603137,0.061086,0.144691,0.919665,1.415454337
0.918851,0.10813,0.751959,0.860634,0.01989,0.872615,0.623117,0.062054,0.131164,0.912005,1.446051266
0.92077,0.105865,0.743832,0.850853,0.020363,0.859533,0.648271,0.058188,0.130459,0.900117,1.461714969
0.914782,0.10314,0.736155,0.835683,0.024491,0.846734,0.648324,0.060004,0.130755,0.889245,1.473680285
0.919423,0.10418,0.736087,0.839967,0.019754,0.851483,0.648356,0.061127,0.129375,0.895884,1.471136565
0.906414,0.102123,0.727152,0.830738,0.019308,0.843401,0.654841,0.073251,0.126696,0.879265,1.4728128
0.910231,0.103291,0.72782,0.829868,0.019812,0.838458,0.652554,0.066432,0.122971,0.88005,1.468728688
0.9171,0.103719,0.728881,0.835938,0.020145,0.842804,0.649448,0.064014,0.12865,0.891567,1.472029382
0.912909,0.103574,0.729328,0.831542,0.020172,0.842769,0.64701,0.070196,0.121382,0.885806,1.469281083
0.909991,0.101775,0.723612,0.820528,0.020635,0.838911,0.643061,0.062648,0.125952,0.873637,1.478204488
0.91721,0.104305,0.732983,0.830305,0.020118,0.843468,0.645206,0.069546,0.121965,0.881536,1.46841537
0.916224,0.103672,0.7308,0.829549,0.019943,0.842269,0.644281,0.061086,0.127918,0.886641,1.471563642
0.910778,0.102805,0.729999,0.824604,0.020632,0.834063,0.636309,0.076243,0.125436,0.880554,1.47230177
0.922745,0.107567,0.744769,0.840471,0.020041,0.85349,0.641915,0.055264,0.12295,0.898548,1.452863672
0.910059,0.105059,0.739302,0.825006,0.020824,0.843995,0.622667,0.070345,0.123447,0.883635,1.457442054
0.917616,0.106272,0.7418,0.837603,0.019742,0.847408,0.642859,0.07672,0.124869,0.893421,1.456444621
0.913389,0.105368,0.736434,0.839297,0.019854,0.846901,0.64637,0.065338,0.120457,0.888336,1.458409904
0.850211,0.08899,0.666631,0.753564,0.021836,0.791482,0.601444,0.078606,0.128802,0.835655,1.509360333
0.920211,0.107223,0.743909,0.83785,0.022063,0.850527,0.646912,0.066944,0.135087,0.893284,1.452799524
0.915516,0.107215,0.736581,0.836864,0.020956,0.848797,0.64418,0.066455,0.126121,0.892494,1.448798652
0.916833,0.107874,0.745782,0.839156,0.021916,0.854092,0.630304,0.068692,0.124998,0.891628,1.445885304
0.913383,0.104074,0.724239,0.820664,0.020547,0.836039,0.628708,0.062733,0.125866,0.886393,1.466534351
0.914493,0.108667,0.745416,0.84416,0.021299,0.854704,0.637449,0.064391,0.126654,0.899234,1.43903614
0.915373,0.112639,0.759858,0.847227,0.021711,0.864126,0.588633,0.063923,0.126664,0.902136,1.416041733
0.919982,0.113738,0.765784,0.861613,0.021843,0.874074,0.60899,0.064505,0.131707,0.909891,1.413476141
0.910597,0.112274,0.761699,0.861492,0.021743,0.87014,0.592482,0.077287,0.132952,0.906417,1.414155441
0.914668,0.110252,0.751062,0.852343,0.020474,0.860815,0.621501,0.065952,0.123024,0.899981,1.429619814
0.916934,0.112359,0.759794,0.842563,0.022578,0.856046,0.595204,0.068169,0.137202,0.896343,1.41900605
0.910931,0.112926,0.770907,0.855918,0.023485,0.869914,0.571331,0.063923,0.138333,0.902856,1.410611456
0.919842,0.11726,0.782624,0.86668,0.024142,0.876659,0.580474,0.059706,0.14112,0.909369,1.393069423
0.918725,0.11064,0.760378,0.852068,0.023557,0.876128,0.575053,0.057609,0.134182,0.888084,1.430742712
0.91875,0.11163,0.759397,0.864376,0.021438,0.865656,0.629724,0.053708,0.135895,0.921901,1.424857147
0.911967,0.116026,0.772484,0.861965,0.024004,0.873284,0.583273,0.065797,0.139704,0.903518,1.393562721
0.911599,0.112258,0.750721,0.850418,0.023382,0.866344,0.617459,0.059507,0.13658,0.91031,1.415099061
0.922691,0.117529,0.775424,0.868434,0.02464,0.879442,0.610566,0.050933,0.137582,0.913738,1.393898324
