cpu-cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss
1262939772,2457658499,7044330,3608841,14077822,56610058,637809,1241979,7710684,463406,249278,68390,4707465,2206375,6250420
1355021004,2386989948,6623098,2866110,15928982,53560213,537650,784920,6455049,647688,248329,94079,5208700,2949608,9579398
1039514162,1931274929,5289084,3424470,15450570,42762003,514173,1078884,8188220,365231,279085,165058,6199256,2721071,7803577
662511566,1971286634,1815322,2944779,7098912,6676455,543569,732012,1607167,147070,96197,40331,856589,1044694,2184841
799558353,3464000788,1375406,1754126,2773332,1875018,806203,149440,1509682,49585,44337,13887,82569,194323,581848
405905380,1225892415,508241,3080439,3626106,3552161,504500,175745,988841,64042,65230,12734,955383,221668,2585004
1328772322,5757824394,2306488,2517099,5123825,5239912,1358547,474240,2432223,42950,44826,72466,420171,296990,664086
1354800041,2883310209,1960418,8122811,24284292,30811104,1328149,2025983,1958579,657727,541510,196385,1765591,3608721,8317501
1366412342,1416193907,5441229,16491490,32325973,3568373,4226695,834422,5598430,3251057,643123,48622,1470015,11947791,14713922
1365022235,1197966241,4868386,15758612,30776706,3529883,4450718,741235,4870967,3823113,653415,44059,1284587,12367621,14944168
1363711463,1030723469,4363205,17458531,32152130,1190577,5181576,568475,4407856,4421962,774174,28651,679441,13824426,15715376
1365832751,1016795132,4424284,17917466,31515642,1097008,5235165,558235,4427794,4366344,760308,32837,626344,13830436,15641303
1365083921,1008875960,4529141,18126985,30930433,1128705,5251489,537472,4569382,4330077,732657,34294,609967,13624478,15304139
1366174467,1025996635,4609883,17936508,30651800,1329522,5190002,537183,4626273,4250273,659518,31405,761071,13197375,14982790
1364868625,1027643791,4602961,17835901,30471796,1415845,5143800,540920,4646813,4237595,659198,32272,731028,13285314,15054867
1362413807,999527397,4475655,17249875,29720629,1555080,5135583,531348,4542449,4234045,645524,36038,796690,12891111,14721988
1364800737,1022557696,4592682,17762075,30271008,1285058,5122549,516636,4612415,4251156,638109,33241,600417,13313565,14946326
1366797924,1005629646,4571727,17843695,30061528,1056694,5194191,483038,4566372,4260692,641693,26892,605224,13123239,14860135
1358936353,951967159,4326180,17980489,29197224,957072,5216958,527355,4409091,4239729,722341,29252,457178,13141758,14646745
1358787757,965634699,4384333,17941721,29188992,876813,5226671,506918,4393080,4208020,656103,29887,469423,12897205,14490404
1366909150,979227507,4462831,17849658,29447251,1067297,5174449,499336,4501293,4255071,692004,29751,485661,13062510,14617479
1364648833,970773249,4392167,18052556,29292651,930442,5173504,516517,4414945,4228359,699688,27888,446890,13018593,14620387
1364128910,982516888,4461318,17730810,29116640,961059,5164515,484911,4483991,4232808,666147,30385,462306,12941691,14470735
1367087303,986534516,4468054,17619358,29111563,1126414,5133587,469395,4503075,4303548,653792,29198,512374,13055566,14470712
1367236305,985668430,4440751,17950469,29476980,946580,5150699,490074,4433654,4216194,672009,27123,444950,13079041,14618216
1365428160,988152560,4476247,17761460,29346235,1010290,5131385,468468,4492391,4261186,625564,30244,475657,12984924,14571755
1365949954,975422232,4415223,17900661,29203180,954727,5167556,502297,4435290,4218291,662174,31537,440646,12773762,14358836
1365780728,988739174,4496109,17571252,28839516,1181317,5100348,476117,4529941,4239752,630080,30309,524469,12990462,14494231
1363137665,995115543,4474833,17614424,29192056,973918,5120552,466513,4484520,4279472,643782,27159,437511,12922612,14395595
1366187448,1004304807,4532557,17694356,29470740,1024082,5090549,462383,4535454,4231119,619075,29567,494895,13050191,14585847
1367414419,992066086,4471483,17698597,29050242,1070983,5105781,470861,4504544,4260595,641625,26845,437933,13103984,14587806
1365786571,998375253,4519103,17566550,29042264,1214199,5097145,479410,4529900,4201310,610886,29830,538962,12823645,14411939
1353597413,979108212,4447043,17498902,28799941,1163095,5072008,477891,4469331,4094872,605503,34684,543794,12476881,14117524
1365948539,1001937951,4513678,17549215,29300687,1048879,5067180,462361,4517453,4240859,613061,28489,543962,13000531,14582923
1367740337,1014449209,4579107,17408239,29216538,1286032,5044246,474668,4557914,4212375,606921,26251,637656,12911240,14575896
1366061749,990603673,4448293,17678009,29116326,962907,5112181,476913,4454070,4213674,639439,26726,514075,13043637,14542003
1366491964,994031262,4507711,17527274,28693974,1193865,5125703,484016,4464128,4168906,603014,35247,711806,12684516,14392625
1366961188,988718370,4492707,17551591,29035263,1297881,5094192,496555,4496875,4177280,624192,26844,616880,12885002,14549704
1365855317,989977568,4504822,17530663,28987822,1230464,5083146,502299,4493861,4117608,616243,29273,646450,12789191,14382463
1367324768,987281581,4495001,17568782,28899043,1103687,5109427,481536,4459674,4194050,631831,27325,578618,12938328,14474797
1367108896,982520056,4467619,17746253,29273997,990587,5165690,489759,4457320,4163246,616843,26923,549292,13001994,14496688
1368049737,990144487,4518645,17683931,29420561,1058904,5133458,472538,4526225,4163050,597637,29794,624954,12969775,14612032
1358195129,980446503,4508642,17310907,28833796,1313832,5052290,480805,4534646,4121611,584136,30154,740207,12610937,14328923
1358305211,964840026,4439869,17168557,28179817,1267657,5061543,481575,4332299,4031971,575864,33238,755998,12774030,14483506
1367858587,984012729,4548961,17431093,29254348,1397115,5112541,496278,4547356,4135261,590649,26867,787319,12873997,14614339
1367818445,973833812,4494562,17699725,29309671,1115518,5197070,482571,4473273,4197759,601616,28692,607245,13010258,14619237
1366284614,965080902,4479092,17820428,29430185,1083147,5225485,475203,4486258,4202184,594832,26313,576587,13010889,14560641
1366880233,936837978,4304902,18274217,28985347,816741,5365485,535898,4310088,4190423,659822,24710,473775,12928425,14401150
1363921070,937004048,4285575,18222692,28643519,837268,5346349,514931,4297755,4189249,681291,28322,472466,12863100,14261500
1369659445,944241691,4344487,18203734,28789349,850486,5323820,528487,4313109,4142079,632568,29438,482996,12836123,14315100
1367866011,967658724,4426913,18006860,29376737,874593,5303450,474883,4408928,4260205,606292,27551,483241,13087743,14527841
1368366673,949848103,4313864,18256844,29139239,839794,5351432,491995,4344775,4256431,606762,27371,467094,12983810,14457707
1365743066,932622381,4241603,18384369,28661474,836138,5344727,580001,4244255,4122604,664574,28411,482263,12692964,14203127
1366955149,928038763,4233467,18367101,28267104,839829,5309415,615367,4210659,4043065,679780,26564,453833,12648077,14104045
1367679808,929066193,4226145,18298027,28295720,836527,5314129,610291,4221179,4070605,681630,27233,452111,12564727,14071008
1367172253,925619861,4186399,18332322,28209204,838202,5320865,609686,4213576,4072335,639433,27792,458740,12541031,14091498
1368745048,941229746,4282379,18143153,28370499,889528,5310809,554925,4248705,4093966,640645,26635,467955,12687194,14139501
1361588163,935374724,4257167,17928402,28271112,911803,5258097,494604,4285614,4171321,622755,25916,469716,12777750,14240939
1364866439,952754476,4303309,18018670,28253920,901428,5247959,499620,4193609,4083653,605195,29551,488890,12906019,14322952
1390231572,958901182,4321856,18588066,28882633,870282,5404420,573104,4297828,4152914,633871,28574,461954,12913037,14453094
1366716182,939975732,4251963,18204705,28078157,886145,5273248,597777,4239260,4029718,659878,29821,462977,12598321,14080933
1368153605,952443228,4323704,18056129,28490074,893116,5250700,514706,4327426,4157789,651108,29765,445982,12642967,14140784
1365889145,968480027,4380347,18029192,28938674,935671,5213513,488190,4407235,4182705,625408,28900,460549,12956225,14486695
1368797541,963411882,4335778,18109070,28564185,905051,5238932,530624,4319602,4110369,640402,29683,456852,12819511,14301489
1368227803,981719485,4457673,17874500,29149865,949814,5189450,468271,4447413,4189863,597140,25448,479820,12854314,14314465
1369099185,978121216,4420036,18004133,28852788,965837,5199249,478734,4402902,4208675,609978,25593,471164,12993430,14439905
1366401519,980171860,4438118,17805433,28904701,985943,5172804,473037,4424248,4174862,591004,27778,479572,12801643,14259637
1366028813,977454022,4427754,17901524,28765320,970020,5178560,480071,4408777,4133744,619941,27840,478378,12813011,14332062
1365416907,984426179,4458653,17698699,28889399,995251,5167328,468668,4445086,4185238,579073,26245,471577,12860129,14283049
1367649660,978500408,4420713,17932157,28828567,951091,5192144,481199,4399269,4187782,609385,26677,477501,12887454,14378974
1366993233,982015229,4469202,17677846,28824202,1022827,5147442,468904,4463267,4177915,579699,24009,483374,12881738,14342502
1368017810,992655966,4496885,17756926,29286328,966202,5149201,464340,4485714,4220877,597162,25499,483994,12833805,14459777
1368329886,989533930,4478616,17678878,28962525,1007820,5124483,469160,4456174,4177181,594249,24992,482360,12863187,14334364
1368456971,986804524,4466897,17738354,28907961,1007817,5151630,479335,4450971,4186787,587542,25170,483334,12892099,14338185
1366723588,985134340,4489063,17612208,28804738,1026347,5126846,484236,4489912,4149283,623025,26279,501961,12645768,14178300
1369105786,996752571,4524374,17582930,28902940,1067883,5110084,462343,4474147,4186742,589469,25794,518272,12840911,14361801
1366033993,990874925,4511507,17624479,29231343,1126498,5108436,468780,4511359,4184749,600108,29365,594987,12752424,14427751
1366975468,991600469,4534812,17412899,28957812,1386186,5071962,482886,4521550,4148008,596817,27384,697346,12710048,14425027
1367521646,993796014,4522377,17562988,29437590,1063161,5094587,465432,4512844,4159590,592144,26930,670792,12944939,14567346
1368325867,987808588,4457652,17788376,29192113,1068287,5162523,488343,4429058,4195412,621326,24467,516998,12909347,14557664
