cpu-cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss
1094255611,1978205897,5417441,3616898,11346820,49494147,544405,1282477,6013015,146092,211269,74468,5506739,3270729,9565104
1247854976,2050890550,7062499,3123935,16508985,43432949,548540,976479,7512870,312788,141301,91072,8795084,2775312,12735176
1275440553,2237207451,5854678,3940154,15838617,47774053,736150,889895,6478076,332062,226512,95752,7299052,3433684,10664097
447231639,748964559,2623635,1788284,7916792,4863845,447182,565173,1449797,125141,147300,72676,4853356,1922696,5745924
456379826,1247012560,1017154,1584247,5052174,4348926,400750,209154,926841,35662,34229,6979,403504,461949,2055192
763246250,2114574817,1526317,2746475,6795147,8692174,540370,550436,1152166,53367,47134,15695,1702997,1438555,3879805
1368782980,5182649210,753582,36103,10901174,1612567,10717,3213,726673,13620,3561,1459,93380,20374,109094
1366933557,5176904770,746715,26766,10733264,1613648,5641,1854,753306,14550,4279,1192,80471,19160,125912
1357581973,5134160349,757101,18733,10391556,1547602,1359,1434,757157,16854,4444,883,61861,22283,109561
1364052809,5175448145,684801,17707,10566233,1491006,3177,1738,675683,17981,4689,1003,62924,19058,105496
1365038081,5180882091,662426,13033,10870317,1632048,1391,1436,662424,13524,3354,1090,77248,21193,120538
1364332225,5168712327,663963,5334,10779565,1710516,516,1601,663869,14182,4455,1042,74642,17528,119579
1362618852,5173159059,660488,5279,11042726,1503501,388,1511,659528,13449,3972,1054,69343,16863,106765
1366206090,5176106526,661476,6174,11222159,1576768,619,1428,659126,13665,3290,1260,69260,18050,105803
1367256185,5196151708,659348,6823,10983111,1460959,1575,1537,659503,13827,3161,1099,60685,15608,92405
1367755363,5196211740,669245,5074,11224323,1486657,523,1269,670415,20073,6000,814,70083,16364,104127
1366359939,5189332274,675321,5926,10821288,1463485,764,1500,670302,14597,4092,979,65662,16778,99515
1359191680,5155766511,672879,8053,11044745,1482231,724,1182,664915,13233,3504,834,67138,18850,107846
1366127006,5189254810,671345,4352,10641335,1494706,505,1693,672437,14093,5245,742,68379,15890,99087
1363834625,5170929541,689323,13456,10859376,1465385,2951,1765,676538,13336,3549,977,63361,20335,103348
1353482088,5095671781,665454,34813,10745513,1488032,4425,1656,668493,12708,2792,1226,77857,25659,137052
1362615901,5156776718,688442,37643,10592445,1457282,11481,2545,688668,12763,2939,667,58578,17805,95403
1361820670,5142377725,728709,11973,11337145,1639353,1252,1378,722690,23401,6956,962,61635,15287,91529
1360415457,5138331809,740463,7380,11377418,1552117,572,1588,734096,13014,3582,1262,86316,21938,113757
1357351812,5087806003,758832,22819,12269621,1611299,4729,1301,762029,12173,4066,1215,77832,18549,102503
1367296575,5159021146,652953,15953,13562821,1637963,5971,2091,635942,11089,2617,866,52625,15890,80238
1363022598,5149782791,578031,17989,14099616,1755720,2742,2114,572447,11047,3134,989,61876,16704,94706
1353564809,5096349295,535641,65302,13805629,1859146,16808,3433,562980,9417,2973,1050,69350,20660,113953
1366851116,5159538714,549751,7669,14733154,1857620,1120,2097,533693,9266,2152,1169,54514,16445,95927
1356751448,5096835135,483869,66794,13859468,1854927,10869,2820,493740,8885,1825,1067,69017,24372,103259
1356158016,5127400507,495431,16940,14108676,1828716,1761,2093,489531,8933,2303,1064,65824,17478,111557
1362497854,5174865251,481475,34038,14396046,1847502,9572,2540,497248,9367,2323,1070,63999,17774,88133
1356988446,5136113598,490961,18886,15105745,1813357,1746,1496,498938,10560,1915,1196,80922,18181,102617
1366959372,5140778600,509768,9749,14466508,1864667,852,1456,500787,9919,1984,1603,54606,16086,86721
1363581481,5134735332,526392,15824,15348544,1911638,1336,1638,534827,11005,2371,2860,63353,18609,107005
1364841953,5144072961,571322,6511,16017375,1846925,357,1325,546109,11293,1723,2803,57864,17729,89604
1366661904,5111034152,588246,15400,19290881,2195634,1189,1211,591951,11086,1795,3450,60252,17977,94758
1359351236,4996143120,747639,19824,24611040,2541822,1488,1765,742850,12247,2736,5043,67870,20512,100431
1360626678,5010806287,801732,15942,24800042,2793325,1197,1633,795265,13068,2786,4200,51459,22160,94389
1297268954,4776950460,1036455,46175,21366168,2955344,5231,1705,1096301,15596,4417,5668,71787,27352,125211
1367358378,4960409758,1112596,12454,25112821,3280945,404,1605,977629,17753,3687,8301,72178,29267,116946
1367592420,4988646599,975674,10593,25987212,2780282,1227,1535,988551,13895,4542,10002,75892,21326,117769
1362162823,4995272418,898873,9296,27349302,3327983,1151,1342,823297,11834,3273,5509,71107,23805,116504
1356845275,4953806225,920460,24616,26528094,3299722,2062,969,990653,12642,3323,4402,105969,20410,121569
1357589478,4781854420,1467854,15451,34605784,5029618,1556,84,1418136,11836,2629,6680,127726,20877,105124
1357049424,4906482850,1059901,15750,30188465,3504783,1676,695,1693876,11753,1990,29050,115378,22929,110502
1359663414,4580924815,2423103,31375,36216273,5891239,2328,883,1838495,13097,2125,20702,136984,44628,172766
1360054532,4735298747,1597983,28769,30026677,4440144,2678,1146,2008503,14315,1960,46365,124716,39253,131334
1361483098,4654389645,2374695,21492,37504777,5399198,1415,381,2498011,11982,3236,30734,129848,36627,141680
1359161262,4571467706,2352161,38776,37790837,5682730,4831,1045,2319324,13640,2206,38424,147957,40197,147404
1363469238,4590465801,2297155,32738,37553871,5655402,3618,956,2295096,14343,2005,40273,134318,41613,138702
1356884813,4603840651,2295699,19290,37857899,5851264,1353,727,2313336,12668,5196,50777,119647,36147,118682
1364545915,4585952946,2288273,26335,38445344,6399072,1813,892,2056086,10838,3218,63450,131031,36845,132200
1363076702,4546071873,2403267,23416,40614717,6891305,1340,789,2426250,10001,1561,49484,111298,35107,133412
1365420236,4583971257,2422382,22623,40247748,6420166,1195,612,2439744,13848,2278,70399,113662,36799,132216
1358597190,4473081998,2520979,18803,40419024,6805027,1357,802,2323691,27527,1255,48776,121641,37266,138610
1358563909,4530998823,2454000,23128,40905441,7192645,2606,749,2461026,17360,1246,54637,120013,38032,134185
1362129168,4578570226,2409743,26925,39511610,7056631,3530,919,2576958,14099,4479,51187,132212,39985,129189
1361010786,4588681348,2375709,25173,40236179,7150657,2172,749,2424310,15878,1708,64941,127846,38414,135263
1364125991,4511696712,2535446,34821,39737980,7017339,4351,1054,2457648,13430,1678,55100,120123,37465,127181
1362140396,4607820651,2210677,22242,39346791,6401988,1620,764,2356373,15636,1675,58822,125037,37946,141444
1356943483,4552808154,2428244,15354,39454196,6438118,1131,1161,2390006,16541,3912,53559,114408,35324,129123
1360288503,4548330385,2506792,16390,42304326,7234002,1496,781,2520762,10598,1798,46159,121845,42129,136999
1363066840,4523989652,2533509,19954,39621198,7034702,1736,471,2526923,13996,1723,56308,122409,36540,138632
1360326191,4468508813,2751942,12899,43191351,7721278,774,700,2594155,13426,3732,44390,104818,44813,142931
1363506542,4545392075,2540074,19903,41620243,7220250,2550,701,2342557,12286,2386,57732,111508,36506,111859
1357866388,4512950456,2383863,25841,41986047,7989657,2420,437,2723943,12963,1990,46653,125852,36538,143235
1361000398,4566434390,2327034,20279,40327935,7443301,1225,608,2161246,16068,2531,61329,116042,44567,146558
1358579196,4532922369,2503978,24729,42120999,7534809,2900,838,2654336,12672,1618,46080,112244,33517,112588
1362743077,4486880539,2513958,50278,40296788,7701099,6674,1395,2462525,18179,3666,55862,117140,48130,146236
1358372770,4519034823,2731163,31246,41350204,7264385,3303,770,2863906,13437,1636,38333,118124,35142,123557
1362457342,4483971918,2687654,20986,39469362,7308448,1923,567,2567762,13147,3125,54655,111863,44586,135850
1358648047,4493812577,2857311,29563,40303167,7077685,2977,763,3104084,12432,4017,47932,122974,38648,141074
1358626546,4449286290,2882009,30738,39464417,7205278,2733,941,2598509,19023,2074,58768,128779,51890,156334
1358042734,4506605064,2837446,19330,39863446,7649622,2206,556,3065609,8874,2161,55954,76202,37470,117407
1360360658,4510623302,2683049,19162,40198303,7461166,1325,753,2483262,11743,1333,49192,73283,37980,123478
1363953043,4441879422,2890258,21095,42062804,7235461,2654,869,2548875,9388,2191,55743,75967,42189,141702
1366856976,4544244844,2491378,16848,42484822,7485778,1139,738,2686988,17296,3128,47330,57727,41693,127491
1360767369,4513323093,2698604,24012,40606919,7697584,2406,509,3009598,15114,1879,61041,69067,32178,105059
1359131448,4515197997,2710594,38704,42238129,7407309,4140,1290,2546021,13708,1885,56780,69233,44593,131313
1362227038,4504297650,2687025,29198,38388154,7338260,3065,650,2918339,14305,1306,63633,70505,33557,126743
1366427630,4458481704,3121786,17632,41534572,8213243,1827,478,2841285,17061,4254,51279,64287,47229,143570
1359422543,4478143635,2791994,14357,40823130,7627707,1259,717,2681464,14442,2420,52098,77049,36615,123697
1358114904,4473395908,2700065,23486,42358794,7837439,1413,809,2701154,16790,2591,41219,65650,43953,148234
1357242911,4457640326,2831205,26611,41809658,8202646,2270,774,2807485,19000,4321,50925,68331,42891,130397
1360133855,4427601667,3184412,19223,42186613,8230213,1537,824,2955568,13027,1405,55841,67584,41267,128353
1358093322,4472831974,2906205,19436,40754988,8120230,2789,631,3065741,11052,1921,45236,66110,38889,135548
1362915063,4507867724,2830264,27635,39845573,7462639,3333,871,2598447,23708,4693,53662,68141,37252,106136
1357315778,4475517310,2613716,21005,39841721,7631183,1807,472,2844487,13598,2230,43480,69151,38327,146181
1357717595,4531087363,2640337,28854,40342918,8148724,3076,616,2844994,15027,1957,46561,73878,39516,137801
1357809145,4543491532,2672112,20265,37957888,7248972,1351,712,2622520,11551,2113,53852,83404,41747,128412
1364389891,4481614115,2847357,20191,40245397,7929871,3335,954,2640743,16501,1546,53601,78829,44862,125385
1358329993,4602104481,2445886,16741,37709485,7808542,1361,569,2548042,17475,5743,42296,75699,36963,145994
1361240566,4529383892,2647481,17329,37989411,7802923,1239,448,2666176,19563,5843,50695,74575,43198,133257
1362034864,4419101760,3066883,14097,40964307,8761823,819,592,3187046,19324,1612,42238,65119,41980,127010
1358493270,4474537264,3045133,16790,39068647,7111401,1147,723,2888809,13042,1991,66113,71090,45423,141198
1361411175,4376697232,3621923,19543,41805005,8124570,2912,909,3306168,13704,3258,55574,76272,42569,121482
1364420708,4468228318,3220918,17652,40056284,7686319,1226,706,3320947,13973,2651,48749,71191,40818,125033
1364264230,4410206561,3246413,27904,38960482,7446156,4334,1057,3342216,16206,2380,54257,79583,47717,132288
1354398536,4410035296,3034200,44445,39074850,7292552,4539,1177,3120498,15122,2398,49810,85232,57891,175752
1357901751,4462307089,3131209,24439,39616634,7213205,2447,540,3277047,11822,2179,52980,90422,61847,151344
1361032478,4395495409,3151092,26775,40360874,7949198,2501,1183,3061231,12240,3893,38012,70972,62101,137971
1355140635,4472751733,2888068,32581,38251225,7175019,3556,613,3176684,12577,1500,62424,80980,48529,118692
1362952432,4456257318,3189955,23858,41733533,8022880,1738,827,2944889,15515,4478,51515,80685,59299,130239
1361716092,4482113284,2699567,23204,39520349,7511106,2155,650,2828913,11887,2314,48318,74309,59940,149530
1353463980,4465272221,3047718,25329,38513431,7588304,2324,453,3115988,13833,1492,46040,82918,54342,160663
1359741887,4410649174,3258991,19434,40800328,7745520,1008,701,3106866,10419,2056,43603,77373,59427,148897
1361595729,4337211196,3381262,37414,43039497,7917010,4221,624,3125095,12059,1594,46453,71979,53787,137421
1357083804,4413355204,3089709,16497,44206822,8564541,1471,783,3139602,15369,1885,43563,68307,51398,122842
1361213942,4500591548,2670693,26077,41827197,7747023,3929,746,3058493,12007,1291,49232,74331,52253,130591
1361889689,4496020432,2721270,24386,41576687,7719232,2103,626,2825629,20425,2944,46022,76978,55333,134173
1362737426,4470497785,2705786,17225,42201777,7815325,1223,481,2776116,8259,3318,56561,73478,54772,133853
1364036794,4473624142,2754412,22250,44196953,8167119,2739,841,2314161,11952,3642,33009,72819,52459,139508
1359703209,4399513458,2897239,19570,44760110,8694716,2633,691,2820799,11806,1792,42563,61258,40643,133901
1362792833,4524431163,2473626,17484,42404050,8352850,2886,828,2781124,12634,2416,54109,70220,35419,105013
1362011770,4450764383,2621244,21763,43122787,8232936,4912,305,2339440,10534,3981,33765,76416,41640,123499
1359169064,4385522436,2686464,64414,45775662,8905987,9749,746,2577115,17108,2041,31645,63029,41588,139960
1353827404,4448688912,2661143,18883,44836731,8883365,3275,794,2731933,11185,2020,40065,77213,37912,107829
1361395052,4530022493,2473342,22588,41760909,8146690,4908,543,2853072,8869,1915,44150,71419,36950,120978
1351045799,4373039956,2638857,67954,42022237,8291460,8746,675,2644072,15367,2530,39321,94889,53238,209377
1356079157,4431779969,3048024,42612,45128414,9620651,5819,879,3512853,15939,1660,42284,75057,34126,172276
1359756204,4216661007,3701742,42472,48019698,9358122,5064,691,2701894,14544,3218,34902,56466,41593,180905
1361537365,4451431162,2454040,33391,40592455,8192823,3495,221,2544303,16466,2706,72942,87065,42848,202230
1361257796,4386955066,3164059,34289,44005862,8986729,4494,1126,3037182,12390,4294,42469,65875,41920,196225
