cpu-cycles,instructions,branch-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss ,CPI
0.923573,0.97464,0.059004,0.202506,0.001071,0.095588,0.010086,0.006881,0.019329,0.001071,0.26837831
0.925856,0.980321,0.068746,0.195031,0.001146,0.099075,0.014053,0.004858,0.015346,0.000425,0.267747442
0.925734,0.977178,0.071963,0.195611,0,0.085318,0.025809,0.004773,0.01319,0.000316,0.268292582
0.924,0.970795,0.077013,0.199713,0.002171,0.088391,0.011246,0.005452,0.02067,0.001278,0.269149613
0.926059,0.973541,0.071106,0.208256,0.002276,0.216446,0.018794,0.004725,0.016672,0.000906,0.269006804
0.927604,0.974065,0.059872,0.206398,0.004603,0.095916,0.013362,0.00595,0.017773,0.001387,0.269178448
0.927538,0.976321,0.04695,0.217547,0.00426,0.038387,0.009717,0.005903,0.013512,0.000435,0.268758306
0.886149,0.895992,0.028473,0.208551,0.007561,0.041615,0.011744,0.007589,0.017837,0.002999,0.276577854
0.926972,0.976427,0.033796,0.236094,0.007666,0.028221,0.006241,0.007769,0.014955,0.000383,0.2686416
0.92561,0.972875,0.033887,0.241926,0.007409,0.000673,0.002895,0.007404,0.016295,0.000302,0.269050028
0.926861,0.974229,0.040348,0.24179,0.008291,0.073443,0.010115,0.006658,0.014875,0.000585,0.2690205
0.926694,0.972443,0.041229,0.241637,0.009979,0.035021,0.007613,0.006682,0.016319,0.000563,0.269315826
0.925456,0.972043,0.022957,0.243265,0.009269,0.033416,0.004618,0.006706,0.017899,0.000429,0.269174511
0.925946,0.97562,0.016092,0.240158,0.009058,0.033899,0.005562,0.005723,0.015912,0.001073,0.268610466
0.925924,0.970865,0.021498,0.244789,0.008682,0.041097,0.007824,0.006392,0.020408,0.001633,0.269469777
0.927293,0.970657,0.033017,0.254437,0.011962,0.062776,0.010045,0.009118,0.014556,0.001095,0.269744565
0.926673,0.966689,0.0466,0.255084,0.009687,0.056925,0.00572,0.014067,0.021257,0.003195,0.270362281
0.91765,0.936558,0.058541,0.272639,0.009039,0.12664,0.015055,0.010144,0.031178,0.009245,0.274398502
0.926921,0.930013,0.082335,0.399196,0.026582,0.091256,0.015407,0.017353,0.017865,0.008821,0.277296303
0.919406,0.922254,0.080676,0.404532,0.026389,0.1061,0.009634,0.016612,0.02197,0.005592,0.277454889
0.924793,0.931416,0.202369,0.363015,0.031808,0.087838,0.016298,0.019556,0.018441,0.009249,0.276647958
0.925104,0.929487,0.144099,0.385937,0.030276,0.131214,0.009435,0.031025,0.020476,0.005703,0.277074278
0.922029,0.919807,0.148272,0.421751,0.023708,0.129729,0.019468,0.041687,0.014183,0.004492,0.27840001
0.923556,0.926134,0.131544,0.420118,0.0329,0.054284,0.00698,0.018212,0.017184,0.004706,0.277445471
0.924404,0.92263,0.12921,0.431198,0.036929,0.078949,0.007829,0.030018,0.01757,0.003604,0.278275902
0.925168,0.896015,0.187572,0.479434,0.052743,0.048415,0.009136,0.091143,0.015861,0.004563,0.283686122
0.919209,0.861444,0.328494,0.539738,0.056963,0.073512,0.010906,0.100911,0.019714,0.009309,0.289727998
0.91804,0.853743,0.369455,0.540078,0.068393,0.127037,0.011627,0.125649,0.017636,0.009437,0.291145427
0.924562,0.835488,0.514382,0.577806,0.070557,0.087062,0.007214,0.139297,0.016758,0.013876,0.296340402
0.922084,0.823213,0.539114,0.605924,0.078686,0.113694,0.020207,0.157885,0.018997,0.011982,0.29859408
0.921649,0.836596,0.477073,0.582053,0.077425,0.082488,0.007267,0.208504,0.021448,0.01163,0.295542115
0.920926,0.800402,0.62374,0.668035,0.087383,0.153065,0.024614,0.129054,0.016817,0.01343,0.303569102
0.924708,0.81143,0.502475,0.601069,0.079879,0.129091,0.013426,0.318296,0.016595,0.016035,0.301767544
0.919169,0.861685,0.349729,0.555183,0.079363,0.140137,0.006927,0.26696,0.018359,0.005185,0.289669675
0.920139,0.845554,0.411433,0.583078,0.090752,0.114575,0.007695,0.294518,0.023614,0.007387,0.293302143
