cpu-cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss
1257249834,2422962741,6746347,3576935,14070058,56199823,620619,1251480,7670918,429562,259525,72715,5095141,2334996,6203872
1367243933,2413263410,6574984,3412869,16707356,54272984,472583,749458,6636790,562865,183162,74829,5101544,3144452,9617576
952499181,1763947509,5497024,3055430,14491237,45684385,478928,1110124,8340426,308349,265477,139428,6184179,3038841,7952444
682970691,1992747258,1799133,2716939,7133433,8120495,531720,630050,1563035,301712,132149,40858,411718,1183554,2874528
1370646766,6025216988,2297256,2894883,3718043,969584,1401152,709846,2312402,8080,2646,10813,118330,316632,1128166
767887147,3320785113,1318119,1456625,3977558,3308147,745132,167516,1499825,22456,209,289,26625,184377,216745
522607214,2049338731,800496,1446473,2546564,2228296,572638,691705,1114986,94772,44796,15469,261882,98207,1015875
1184433476,4588827951,1736618,5858584,10425337,14291934,2242495,2335430,1678716,6650,2824,5920,287857,241113,2534489
1360046154,5721370099,2226122,3386333,4721451,4562646,1761153,1166241,2056561,3064,431,886,264418,268668,2173019
1336709078,5300425130,2668810,2054365,13766918,7718542,1114891,96390,2563179,81289,93502,29841,1976037,895490,2290752
1360640225,2694154589,3293640,912116,75430474,21264885,93090,418726,3259814,3958874,83348,350376,6400385,23958680,31330504
1356868652,2493872302,2417194,3305867,81633921,15083701,280905,341652,2414160,8300235,74120,261881,4737522,31545947,36988059
1357066211,2296313860,1870567,9074438,80642153,12395242,679549,298460,1891494,9389460,56535,194731,3669327,33238201,37474414
1365523620,2145339048,1569396,14396105,76415475,10311769,1340898,262255,1577254,9446643,45983,181304,3155343,34976937,38287745
1365388635,1926401335,1325227,19889354,71943493,8793501,1838592,242381,1356943,9347388,37635,147792,2610442,32241275,36296058
1364068172,1754332147,1114614,23953834,65751158,7236175,2719513,193746,1118140,8718375,37619,131501,2359134,31546605,33561962
1362920952,1539221550,957976,28371978,57094317,5777730,4230668,154264,858996,7539406,28994,103342,1920354,27477302,29952882
1366134977,1143828196,665738,32450792,44518914,4567594,6526948,131182,687659,6168863,22429,81417,1405289,20842812,22423451
1361228601,1051999646,602320,33471999,41780794,3897587,7354802,105465,593080,5947606,21014,80083,1275543,19420246,20789809
1364841297,1035172917,604602,33944643,40105732,3839536,7866582,109295,598112,5694976,19062,79764,1225172,18966740,20220728
1360398834,990557213,571603,34783894,39579346,3580102,8134309,98935,555557,5559209,16865,66246,1153106,18145423,19235312
